  win   (r, c)   taps 0-2   | taps 3-5   | taps 6-8    position
   0 ( 0, 0)  00 00 00 | 00 00 08 | 00 00 08  top, left
   1 ( 0, 1)  00 00 00 | 00 08 10 | 00 08 10  top
   2 ( 0, 2)  00 00 00 | 08 10 18 | 08 10 18  top
   3 ( 0, 3)  00 00 00 | 10 18 20 | 10 18 20  top
   4 ( 0, 4)  00 00 00 | 18 20 28 | 18 20 28  top
   5 ( 0, 5)  00 00 00 | 20 28 30 | 20 28 30  top
   6 ( 0, 6)  00 00 00 | 28 30 38 | 28 30 38  top
   7 ( 0, 7)  00 00 00 | 30 38 40 | 30 38 40  top
   8 ( 0, 8)  00 00 00 | 38 40 48 | 38 40 48  top
   9 ( 0, 9)  00 00 00 | 40 48 50 | 40 48 50  top
  10 ( 0,10)  00 00 00 | 48 50 58 | 48 50 58  top
  11 ( 0,11)  00 00 00 | 50 58 60 | 50 58 60  top
  12 ( 0,12)  00 00 00 | 58 60 68 | 58 60 68  top
  13 ( 0,13)  00 00 00 | 60 68 70 | 60 68 70  top
  14 ( 0,14)  00 00 00 | 68 70 78 | 68 70 78  top
  15 ( 0,15)  00 00 00 | 70 78 80 | 70 78 80  top
  16 ( 0,16)  00 00 00 | 78 80 88 | 78 80 88  top
  17 ( 0,17)  00 00 00 | 80 88 90 | 80 88 90  top
  18 ( 0,18)  00 00 00 | 88 90 98 | 88 90 98  top
  19 ( 0,19)  00 00 00 | 90 98 a0 | 90 98 a0  top
  20 ( 0,20)  00 00 00 | 98 a0 a8 | 98 a0 a8  top
  21 ( 0,21)  00 00 00 | a0 a8 b0 | a0 a8 b0  top
  22 ( 0,22)  00 00 00 | a8 b0 b8 | a8 b0 b8  top
  23 ( 0,23)  00 00 00 | b0 b8 c0 | b0 b8 c0  top
  24 ( 0,24)  00 00 00 | b8 c0 c8 | b8 c0 c8  top
  25 ( 0,25)  00 00 00 | c0 c8 d0 | c0 c8 d0  top
  26 ( 0,26)  00 00 00 | c8 d0 d8 | c8 d0 d8  top
  27 ( 0,27)  00 00 00 | d0 d8 e0 | d0 d8 e0  top
  28 ( 0,28)  00 00 00 | d8 e0 e8 | d8 e0 e8  top
  29 ( 0,29)  00 00 00 | e0 e8 f0 | e0 e8 f0  top
  30 ( 0,30)  00 00 00 | e8 f0 f8 | e8 f0 f8  top
  31 ( 0,31)  00 00 00 | f0 f8 00 | f0 f8 00  top, right
  32 ( 1, 0)  00 00 08 | 00 00 08 | 00 00 08  left
  33 ( 1, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
  34 ( 1, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
  35 ( 1, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
  36 ( 1, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
  37 ( 1, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
  38 ( 1, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
  39 ( 1, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
  40 ( 1, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
  41 ( 1, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
  42 ( 1,10)  48 50 58 | 48 50 58 | 48 50 58  interior
  43 ( 1,11)  50 58 60 | 50 58 60 | 50 58 60  interior
  44 ( 1,12)  58 60 68 | 58 60 68 | 58 60 68  interior
  45 ( 1,13)  60 68 70 | 60 68 70 | 60 68 70  interior
  46 ( 1,14)  68 70 78 | 68 70 78 | 68 70 78  interior
  47 ( 1,15)  70 78 80 | 70 78 80 | 70 78 80  interior
  48 ( 1,16)  78 80 88 | 78 80 88 | 78 80 88  interior
  49 ( 1,17)  80 88 90 | 80 88 90 | 80 88 90  interior
  50 ( 1,18)  88 90 98 | 88 90 98 | 88 90 98  interior
  51 ( 1,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
  52 ( 1,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
  53 ( 1,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
  54 ( 1,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
  55 ( 1,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
  56 ( 1,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
  57 ( 1,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
  58 ( 1,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
  59 ( 1,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
  60 ( 1,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
  61 ( 1,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
  62 ( 1,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
  63 ( 1,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
  64 ( 2, 0)  00 00 08 | 00 00 08 | 00 00 08  left
  65 ( 2, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
  66 ( 2, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
  67 ( 2, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
  68 ( 2, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
  69 ( 2, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
  70 ( 2, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
  71 ( 2, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
  72 ( 2, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
